Date,Brait,SASFIN
2014/02/18,4690,4595
2014/02/19,4674,4585
2014/02/20,4600,4585
2014/02/21,4550,4585
2014/02/24,4600,4500
2014/02/25,4590,4500
2014/02/26,4530,4499
2014/02/27,4666,4360
2014/02/28,4665,4614
2014/03/03,4698,4594
2014/03/04,4850,4401
2014/03/05,4755,4406
2014/03/06,4930,4550
2014/03/07,4809,4480
2014/03/10,4862,4599
2014/03/11,4775,4515
2014/03/12,4700,4510
2014/03/13,4685,4500
2014/03/14,4730,4500
2014/03/17,4700,4450
2014/03/18,4650,4450
2014/03/19,4680,4450
2014/03/20,4610,4680
2014/03/24,4700,4600
2014/03/25,4707,4550
2014/03/26,4841,4650
2014/03/27,5050,4500
2014/03/28,5223,4595
2014/03/31,5321,4585
2014/04/01,5308,4580
2014/04/02,5299,4500
2014/04/03,5280,4450
2014/04/04,5305,4450
2014/04/07,5335,4498
2014/04/08,5330,4450
2014/04/09,5400,4450
2014/04/10,5415,4440
2014/04/11,5400,4445
2014/04/14,5549,4420
2014/04/15,5481,4420
2014/04/16,5470,4430
2014/04/17,5480,4430
2014/04/22,5504,4430
2014/04/23,5540,4430
2014/04/24,5601,4430
2014/04/25,5644,4430
2014/04/29,5693,4430
2014/04/30,5667,4430
2014/05/02,5746,4475
2014/05/05,5879,4500
2014/05/06,5956,4600
2014/05/08,5975,4776
2014/05/09,5800,4800
2014/05/12,5800,4720
2014/05/13,5725,4902
2014/05/14,5730,5000
2014/05/15,5568,5000
2014/05/16,5516,5000
2014/05/19,5591,5025
2014/05/20,5710,4900
2014/05/21,5650,4914
2014/05/22,5623,4961
2014/05/23,5748,4965
2014/05/26,5737,4966
2014/05/27,5625,5000
2014/05/28,5600,4915
2014/05/29,5600,4915
2014/05/30,5626,4915
2014/06/02,5795,4950
2014/06/03,5900,4925
2014/06/04,6025,5050
2014/06/05,6126,4910
2014/06/06,6305,4910
2014/06/09,6330,4915
2014/06/10,6400,4955
2014/06/11,6475,4910
2014/06/12,6410,4911
2014/06/13,6336,4911
2014/06/17,6560,5000
2014/06/18,6685,4950
2014/06/19,6685,4950
2014/06/20,6650,4950
2014/06/23,6490,5000
2014/06/24,6749,5050
2014/06/25,6683,5050
2014/06/26,6640,5050
2014/06/27,6420,5050
2014/06/30,6530,5050
2014/07/01,6649,5050
2014/07/02,6900,5100
2014/07/03,6900,5100
2014/07/04,7100,5125
2014/07/07,6997,5150
2014/07/08,7000,5225
2014/07/09,7036,5225
2014/07/10,6984,5300
2014/07/11,7005,5300
2014/07/14,7100,5260
2014/07/15,7143,5260
2014/07/16,7290,5261
2014/07/17,7424,5300
2014/07/18,7599,5300
2014/07/21,7580,5300
2014/07/22,7509,5500
2014/07/23,7425,5489
2014/07/24,7308,5300
2014/07/25,7350,5399
2014/07/28,7300,5154
2014/07/29,7396,5186
2014/07/30,7390,5250
2014/07/31,7480,5200
2014/08/01,7239,5205
2014/08/04,7372,5200
2014/08/05,7410,5201
2014/08/06,7239,5176
2014/08/07,7170,5176
2014/08/08,7355,5049
2014/08/11,7465,4950
2014/08/12,7497,5100
2014/08/13,7150,5005
2014/08/14,7450,5100
2014/08/15,7440,5050
2014/08/18,7450,5050
2014/08/19,7499,5011
