Date,PSG,Brait
2008/09/03,1790,1715
2008/09/04,1766,1700
2008/09/05,1735,1710
2008/09/08,1742,1730
2008/09/09,1780,1730
2008/09/10,1751,1710
2008/09/11,1760,1710
2008/09/12,1755,1728
2008/09/15,1756,1700
2008/09/16,1755,1675
2008/09/17,1711,1700
2008/09/18,1700,1650
2008/09/19,1680,1662
2008/09/22,1701,1670
2008/09/23,1710,1670
2008/09/25,1690,1700
2008/09/26,1700,1785
2008/09/29,1675,1800
2008/09/30,1580,1790
2008/10/01,1600,1670
2008/10/02,1592,1677
2008/10/03,1570,1675
2008/10/06,1400,1660
2008/10/07,1469,1660
2008/10/08,1401,1626
2008/10/09,1350,1680
2008/10/10,1320,1600
2008/10/13,1425,1570
2008/10/14,1461,1550
2008/10/15,1450,1520
2008/10/16,1350,1467
2008/10/17,1300,1454
2008/10/20,1300,1455
2008/10/21,1325,1456
2008/10/22,1330,1510
2008/10/23,1320,1460
2008/10/24,1270,1450
2008/10/27,1250,1500
2008/10/28,1285,1500
2008/10/29,1320,1535
2008/10/30,1326,1545
2008/10/31,1300,1540
2008/11/03,1305,1530
2008/11/04,1370,1530
2008/11/05,1361,1550
2008/11/06,1350,1530
2008/11/07,1350,1530
2008/11/10,1360,1539
2008/11/11,1349,1500
2008/11/12,1365,1485
